model,model_name,param,class_no,variable,value
measurement,binary,pis,0,attr,0.08678502920860842
measurement,binary,pis,1,attr,0.01431336101193636
measurement,binary,pis,2,attr,0.034203120537747524
measurement,categorical,pis,0,sexdrive2_1,0.20457834551937956
measurement,categorical,pis,0,sexdrive2_2,0.12931756252298188
measurement,categorical,pis,0,sexdrive2_3,0.28138275362438075
measurement,categorical,pis,0,sexdrive2_4,0.3847213383332572
measurement,categorical,pis,0,CSBD_1,0.04898240877072761
measurement,categorical,pis,0,CSBD_2,0.13092703135381215
measurement,categorical,pis,0,CSBD_3,0.2523748454051018
measurement,categorical,pis,0,CSBD_4,0.5677157144703577
measurement,categorical,pis,0,PPCS_6_1,0.02700486130834574
measurement,categorical,pis,0,PPCS_6_2,0.09126573531706428
measurement,categorical,pis,0,PPCS_6_3,0.2900643937136637
measurement,categorical,pis,0,PPCS_6_4,0.5916650096609257
measurement,categorical,pis,0,meffort_1,0.21791393427730812
measurement,categorical,pis,0,meffort_2,0.283616807473514
measurement,categorical,pis,0,meffort_3,0.3012178580339797
measurement,categorical,pis,0,meffort_4,0.1972514002151976
measurement,categorical,pis,0,socialanx_1,0.08825087070876463
measurement,categorical,pis,0,socialanx_2,0.20017607538444906
measurement,categorical,pis,0,socialanx_3,0.3525614979270569
measurement,categorical,pis,0,socialanx_4,0.3590115559797287
measurement,categorical,pis,0,lon_1,0.03216299671538586
measurement,categorical,pis,0,lon_2,0.19965858769233363
measurement,categorical,pis,0,lon_3,0.32969660389019495
measurement,categorical,pis,0,lon_4,0.438481811702085
measurement,categorical,pis,0,mvalue_1,0.3681102489762665
measurement,categorical,pis,0,mvalue_2,0.2607362235976773
measurement,categorical,pis,0,mvalue_3,0.1664590008700846
measurement,categorical,pis,0,mvalue_4,0.20469452655597098
measurement,categorical,pis,1,sexdrive2_1,0.4688963242964528
measurement,categorical,pis,1,sexdrive2_2,0.1549977587641737
measurement,categorical,pis,1,sexdrive2_3,0.19888258133195794
measurement,categorical,pis,1,sexdrive2_4,0.17722333560741543
measurement,categorical,pis,1,CSBD_1,0.30321846453572154
measurement,categorical,pis,1,CSBD_2,0.2595715947441007
measurement,categorical,pis,1,CSBD_3,0.27748163856778085
measurement,categorical,pis,1,CSBD_4,0.1597283021523969
measurement,categorical,pis,1,PPCS_6_1,0.400332500272857
measurement,categorical,pis,1,PPCS_6_2,0.28956307515331847
measurement,categorical,pis,1,PPCS_6_3,0.23411598156713842
measurement,categorical,pis,1,PPCS_6_4,0.07598844300668607
measurement,categorical,pis,1,meffort_1,0.15058617571754354
measurement,categorical,pis,1,meffort_2,0.17030013021166282
measurement,categorical,pis,1,meffort_3,0.2428185853904417
measurement,categorical,pis,1,meffort_4,0.43629510868035176
measurement,categorical,pis,1,socialanx_1,0.5328893061842048
measurement,categorical,pis,1,socialanx_2,0.29174386583828776
measurement,categorical,pis,1,socialanx_3,0.15436705388238614
measurement,categorical,pis,1,socialanx_4,0.020999774095121153
measurement,categorical,pis,1,lon_1,0.4794238519547231
measurement,categorical,pis,1,lon_2,0.29420029754210497
measurement,categorical,pis,1,lon_3,0.19024273476814077
measurement,categorical,pis,1,lon_4,0.036133115735031036
measurement,categorical,pis,1,mvalue_1,0.0752200705738089
measurement,categorical,pis,1,mvalue_2,0.26794427097847606
measurement,categorical,pis,1,mvalue_3,0.25650220777310695
measurement,categorical,pis,1,mvalue_4,0.40033345067460796
measurement,categorical,pis,2,sexdrive2_1,0.4718129512555244
measurement,categorical,pis,2,sexdrive2_2,0.13494063580387955
measurement,categorical,pis,2,sexdrive2_3,0.24949422037363805
measurement,categorical,pis,2,sexdrive2_4,0.14375219256695718
measurement,categorical,pis,2,CSBD_1,0.4941738966797508
measurement,categorical,pis,2,CSBD_2,0.304858589202621
measurement,categorical,pis,2,CSBD_3,0.14519433269354282
measurement,categorical,pis,2,CSBD_4,0.05577318142408455
measurement,categorical,pis,2,PPCS_6_1,0.3997261176960208
measurement,categorical,pis,2,PPCS_6_2,0.32594933081867894
measurement,categorical,pis,2,PPCS_6_3,0.22786183739863985
measurement,categorical,pis,2,PPCS_6_4,0.04646271408665956
measurement,categorical,pis,2,meffort_1,0.5045768381272556
measurement,categorical,pis,2,meffort_2,0.25865631172839837
measurement,categorical,pis,2,meffort_3,0.22039610054629322
measurement,categorical,pis,2,meffort_4,0.016370749598052015
measurement,categorical,pis,2,socialanx_1,0.024264002708906815
measurement,categorical,pis,2,socialanx_2,0.24024342400055515
measurement,categorical,pis,2,socialanx_3,0.33842957902790327
measurement,categorical,pis,2,socialanx_4,0.3970629942626339
measurement,categorical,pis,2,lon_1,0.1833952645872957
measurement,categorical,pis,2,lon_2,0.2399345611138484
measurement,categorical,pis,2,lon_3,0.22974601655833854
measurement,categorical,pis,2,lon_4,0.3469241577405166
measurement,categorical,pis,2,mvalue_1,0.5449074943610974
measurement,categorical,pis,2,mvalue_2,0.29054830189180364
measurement,categorical,pis,2,mvalue_3,0.1115843062375229
measurement,categorical,pis,2,mvalue_4,0.052959897509575145
measurement,class_weights,class_weights,0,nan,0.2914001859253295
measurement,class_weights,class_weights,1,nan,0.4199993140487622
measurement,class_weights,class_weights,2,nan,0.28860050002590887
structural,binary,pis,0,Y_proclSpeed_r,0.9506907003394486
structural,binary,pis,0,Y_proclDui_r,0.5004013538033588
structural,binary,pis,0,Y_proclRob_r,0.7133027399756209
structural,binary,pis,0,Y_proclKill_r,0.4039508820821509
structural,binary,pis,0,Y_proclProstitute_r,0.7838701522894824
structural,binary,pis,0,Y_proclRape_r,0.33262225719475735
structural,binary,pis,0,Y_proclZoo_r,0.06067148697358442
structural,binary,pis,0,Y_proclPublic_r,0.5282678201862756
structural,binary,pis,0,Y_proclPornChild_r,0.10264530334555831
structural,binary,pis,0,Y_proclPornChildDarknet_r,0.0938100413229387
structural,binary,pis,0,Y_proclChatChild_r,0.08631522705741528
structural,binary,pis,0,Y_proclGiftChild_r,0.05736398905794231
structural,binary,pis,0,Y_proclSexChild_r,0.06636435165290525
structural,binary,pis,0,Y_proclPornYp_r,0.3349626937219636
structural,binary,pis,0,Y_proclChatYp_r,0.3076483047363499
structural,binary,pis,0,Y_proclGiftYp_r,0.13786169285327932
structural,binary,pis,0,Y_proclSexYp_r,0.37916918798234805
structural,binary,pis,1,Y_proclSpeed_r,0.9596738354933649
structural,binary,pis,1,Y_proclDui_r,0.46476203047967385
structural,binary,pis,1,Y_proclRob_r,0.6579980577583997
structural,binary,pis,1,Y_proclKill_r,0.2106924419597748
structural,binary,pis,1,Y_proclProstitute_r,0.5952808575960563
structural,binary,pis,1,Y_proclRape_r,0.13333990666331755
structural,binary,pis,1,Y_proclZoo_r,0.007938889627583668
structural,binary,pis,1,Y_proclPublic_r,0.3519569282393124
structural,binary,pis,1,Y_proclPornChild_r,0.01082120401837346
structural,binary,pis,1,Y_proclPornChildDarknet_r,0.009618002372033514
structural,binary,pis,1,Y_proclChatChild_r,0.011320343672969317
structural,binary,pis,1,Y_proclGiftChild_r,0.0016170617267086574
structural,binary,pis,1,Y_proclSexChild_r,0.005242284423528397
structural,binary,pis,1,Y_proclPornYp_r,0.15212367273224967
structural,binary,pis,1,Y_proclChatYp_r,0.14099263363862868
structural,binary,pis,1,Y_proclGiftYp_r,0.04479472512198717
structural,binary,pis,1,Y_proclSexYp_r,0.2075391388080233
structural,binary,pis,2,Y_proclSpeed_r,0.9219185203096338
structural,binary,pis,2,Y_proclDui_r,0.29710574473325113
structural,binary,pis,2,Y_proclRob_r,0.5197113054618506
structural,binary,pis,2,Y_proclKill_r,0.19634051622643867
structural,binary,pis,2,Y_proclProstitute_r,0.5616787496013824
structural,binary,pis,2,Y_proclRape_r,0.11481575802499283
structural,binary,pis,2,Y_proclZoo_r,0.020464179097759144
structural,binary,pis,2,Y_proclPublic_r,0.2987035424634884
structural,binary,pis,2,Y_proclPornChild_r,0.009553489830495965
structural,binary,pis,2,Y_proclPornChildDarknet_r,0.0037647060402553035
structural,binary,pis,2,Y_proclChatChild_r,0.014341776046411571
structural,binary,pis,2,Y_proclGiftChild_r,1e-15
structural,binary,pis,2,Y_proclSexChild_r,1e-15
structural,binary,pis,2,Y_proclPornYp_r,0.1729076271316932
structural,binary,pis,2,Y_proclChatYp_r,0.170047083661701
structural,binary,pis,2,Y_proclGiftYp_r,0.0425229520070972
structural,binary,pis,2,Y_proclSexYp_r,0.22595167369985583
